algorithm,array_type,size,time_us,char_comparisons
QuickSort,random,100,656,16318
MergeSort,random,100,326,600
StringQuickSort,random,100,204,4810
StringMergeSort,random,100,657,505
MSDRadixSort,random,100,239,0
MSDRadixSortWithSwitch,random,100,221,4810
QuickSort,reversed,100,775,22091
MergeSort,reversed,100,313,574
StringQuickSort,reversed,100,161,3627
StringMergeSort,reversed,100,531,374
MSDRadixSort,reversed,100,164,0
MSDRadixSortWithSwitch,reversed,100,160,3627
QuickSort,almost_sorted,100,694,16821
MergeSort,almost_sorted,100,480,794
StringQuickSort,almost_sorted,100,188,3690
StringMergeSort,almost_sorted,100,598,352
MSDRadixSort,almost_sorted,100,268,0
MSDRadixSortWithSwitch,almost_sorted,100,226,3690
QuickSort,random,200,1328,34751
MergeSort,random,200,730,1516
StringQuickSort,random,200,409,7739
StringMergeSort,random,200,2137,1168
MSDRadixSort,random,200,635,0
MSDRadixSortWithSwitch,random,200,369,7739
QuickSort,reversed,200,1717,45969
MergeSort,reversed,200,742,1321
StringQuickSort,reversed,200,391,8972
StringMergeSort,reversed,200,1221,785
MSDRadixSort,reversed,200,411,0
MSDRadixSortWithSwitch,reversed,200,368,8972
QuickSort,almost_sorted,200,1336,36801
MergeSort,almost_sorted,200,733,1828
StringQuickSort,almost_sorted,200,357,8036
StringMergeSort,almost_sorted,200,1301,760
MSDRadixSort,almost_sorted,200,368,0
MSDRadixSortWithSwitch,almost_sorted,200,360,8036
QuickSort,random,300,1839,48877
MergeSort,random,300,1283,2542
StringQuickSort,random,300,530,10788
StringMergeSort,random,300,2014,1890
MSDRadixSort,random,300,611,0
MSDRadixSortWithSwitch,random,300,437,7411
QuickSort,reversed,300,2479,68980
MergeSort,reversed,300,1105,2054
StringQuickSort,reversed,300,581,13799
StringMergeSort,reversed,300,2435,1185
MSDRadixSort,reversed,300,699,0
MSDRadixSortWithSwitch,reversed,300,649,11926
QuickSort,almost_sorted,300,2271,57104
MergeSort,almost_sorted,300,1190,2992
StringQuickSort,almost_sorted,300,620,11707
StringMergeSort,almost_sorted,300,2401,1201
MSDRadixSort,almost_sorted,300,592,0
MSDRadixSortWithSwitch,almost_sorted,300,644,10160
QuickSort,random,400,2605,70120
MergeSort,random,400,1985,3647
StringQuickSort,random,400,670,13473
StringMergeSort,random,400,2790,2674
MSDRadixSort,random,400,795,0
MSDRadixSortWithSwitch,random,400,579,9657
QuickSort,reversed,400,3416,90860
MergeSort,reversed,400,1620,2829
StringQuickSort,reversed,400,742,17985
StringMergeSort,reversed,400,2663,1549
MSDRadixSort,reversed,400,809,0
MSDRadixSortWithSwitch,reversed,400,850,16189
